r_returns,r_envelope,c_surr_mean,c_surr_std,gap,z,meta_pulse,group,tickers
0.4353016974313891,0.4503755069607284,0.008179369152984227,0.0055262886306481985,0.4421961378077442,6.0,0.9955037268390589,CORE,"JNK, CSGP, SKM, GSG, TRBCX"
0.4058450573203035,0.3957810358013808,0.008393324808645661,0.005907551260808512,0.3873877109927351,6.0,0.9955037268390589,CORE,"FINX, EA, KOS, SPYG, PRWCX"
0.45602665860424557,0.4165506399018917,0.009428792460143103,0.004943272052591157,0.40712184744174856,6.0,0.9955037268390589,CORE,"UNG, VUG, HYG, ARKX, PRGFX"
0.4855722103940808,0.5331847014581336,0.00882681033355712,0.004861436714176036,0.5243578911245764,6.0,0.9955037268390589,CORE,"FSKAX, BKLN, ARR, DSGR, CBZ"
0.3885335558919138,0.3816044198859653,0.009197100428650181,0.005466968171688004,0.3724073194573151,6.0,0.9955037268390589,CORE,"VUG, STX, PSJ, CTLP, BOIL"
0.369643991757406,0.4702016235918801,0.009305543651559051,0.006309925305625375,0.46089607994032106,6.0,0.9955037268390589,CORE,"TRRNX, NGD, HOLX, VFIAX, PRGFX"
0.2806087745992002,0.25016627414441955,0.007214846620083951,0.005775348722573599,0.2429514275243356,6.0,0.9955037268390589,CORE,"PSJ, NGD, FCNTX, GME, VIG"
0.4467612574066852,0.5388722295123695,0.009062971805081067,0.005785786677194656,0.5298092577072884,6.0,0.9955037268390589,CORE,"NSP, PRWCX, IWF, GSG, DGRO"
0.4916542405223357,0.4985875444325307,0.0074815363789419095,0.0052137463862332875,0.49110600805358884,6.0,0.9955037268390589,CORE,"ARCC, MSTR, VOO, SPYG, NDAQ"
0.37691747423517835,0.4575830261023455,0.009284868836922956,0.004970443508225797,0.44829815726542255,6.0,0.9955037268390589,CORE,"VTIP, AGI, FNDX, EPD, NGD"
